"region","Total Confirmed","Total Recovered","Total Deaths","Total Active","New Confirmed","New Recovered","New Deaths","New Active","Perc Increase Confirmed","Perc Increase Deaths"
"US_Florida",27059,0,822,26237,745,0,48,697,0,0
"US_Georgia",19407,0,775,18632,1106,0,88,1018,0,0
"US_Grand Princess",103,0,0,103,0,0,0,0,0,NA
"US_Guam",136,0,5,131,0,0,0,0,0,0
"US_Hawaii",584,0,10,574,4,0,0,4,0,0
"US_Idaho",1672,0,45,1627,4,0,1,3,0,0
"US_Illinois",31513,0,1349,30164,1156,0,59,1097,0,0
"US_Indiana",11688,0,577,11111,477,0,15,462,0,0
"US_Iowa",3159,0,79,3080,257,0,4,253,0,0
"US_Kansas",2048,0,102,1946,143,0,9,134,0,0
"US_Kentucky",3050,0,154,2896,90,0,8,82,0,0
"US_Louisiana",24523,0,1328,23195,595,0,32,563,0,0
"US_Maine",875,0,35,840,8,0,1,7,0,0
"US_Maryland",13684,0,582,13102,837,0,121,716,0,0
"US_Massachusetts",38077,0,1706,36371,0,0,0,0,0,0
"US_Michigan",32000,0,2468,29532,576,0,77,499,0,0
"US_Minnesota",2470,0,143,2327,114,0,9,105,0,0
"US_Mississippi",4512,0,169,4343,238,0,10,228,0,0
"US_Missouri",5890,0,200,5690,147,0,1,146,0,0
"US_Montana",433,0,10,423,0,0,0,0,0,0
"US_Nebraska",1648,0,33,1615,174,0,5,169,0,0
"US_Nevada",3830,0,159,3671,102,0,1,101,0,0
"US_New Hampshire",1447,0,42,1405,57,0,4,53,0,0
"US_New Jersey",88722,0,4496,84226,3421,0,134,3287,0,0
"US_New Mexico",1971,0,58,1913,126,0,3,123,0,0
"US_New York",253060,0,18611,234449,5245,0,313,4932,0,0
"US_North Carolina",6895,0,218,6677,294,0,18,276,0,0
"US_North Dakota",627,0,9,618,42,0,0,42,0,0
"US_Northern Mariana Islands",14,0,2,12,0,0,0,0,0,0
"US_Ohio",12919,0,509,12410,1317,0,38,1279,0,0
"US_Oklahoma",2680,0,143,2537,113,0,3,110,0,0
"US_Oregon",1957,0,75,1882,47,0,1,46,0,0
"US_Pennsylvania",33914,0,1348,32566,1012,0,72,940,0,0
"US_Puerto Rico",1252,0,63,1189,39,0,1,38,0,0
"US_Recovered",0,72329,0,-72329,0,1992,0,-1992,NA,NA
"US_Rhode Island",5090,0,155,4935,384,0,5,379,0,0
"US_South Carolina",4446,0,123,4323,69,0,3,66,0,0
"US_South Dakota",1685,0,7,1678,50,0,0,50,0,0
"US_Tennessee",7238,0,152,7086,168,0,4,164,0,0
"US_Texas",19751,0,507,19244,491,0,17,474,0,0
"US_Utah",3213,0,28,3185,144,0,1,143,0,0
"US_Vermont",816,0,38,778,3,0,0,3,0,0
"US_Virgin Islands",53,0,3,50,0,0,0,0,0,0
"US_Virginia",8990,0,300,8690,448,0,23,425,0,0
"US_Washington",12114,0,643,11471,-141,0,7,-148,0,0
"US_West Virginia",902,0,24,878,12,0,6,6,0,0
"US_Wisconsin",4499,0,230,4269,153,0,10,143,0,0
"US_Wyoming",317,0,2,315,4,0,0,4,0,0
"Uzbekistan",1627,261,5,1361,62,36,0,26,0,0
"Venezuela",256,117,9,130,0,0,0,0,0,0
"Vietnam",268,214,0,54,0,12,0,-12,0,NA
"West Bank and Gaza",449,71,3,375,12,0,0,12,0,0
"Western Sahara",6,0,0,6,0,0,0,0,0,NA
"Yemen",1,0,0,1,0,0,0,0,0,NA
"Zambia",65,35,3,27,4,2,0,2,0,0
"Zimbabwe",25,2,3,20,0,0,0,0,0,0
"World",2462625,636415,169903,1656307,70879,21833,4942,44104,0,0
